iter	Logloss
0	0.6913512584
1	0.6892318726
2	0.6874486087
3	0.6845701839
4	0.6818394179
5	0.6794284435
6	0.6765329597
7	0.6744291327
8	0.6724826084
9	0.6699825244
10	0.6678860268
11	0.6664986771
12	0.6642691794
13	0.6621516367
14	0.6605099453
15	0.6586690753
16	0.6565270156
17	0.6545731191
18	0.6528362317
19	0.6501857458
20	0.6485644566
21	0.6467512752
22	0.6455096127
23	0.6432826439
24	0.6416503392
25	0.6402282286
26	0.6382642167
27	0.6364836961
28	0.6348568348
29	0.6332541905
30	0.6317466993
31	0.6299594493
32	0.6283187866
33	0.6268542858
34	0.6253341932
35	0.6242406181
36	0.6224797281
37	0.6209796091
38	0.6197490906
39	0.617887004
40	0.616695104
41	0.615427253
42	0.6139253766
43	0.6128565756
44	0.6118627827
45	0.6099712929
46	0.6083308445
47	0.6069810846
48	0.6056017501
49	0.6041494648
50	0.6029810102
51	0.6019465843
52	0.6014042972
53	0.6002449293
54	0.5990447569
55	0.5982424704
56	0.5975706122
57	0.5963308784
58	0.5953054964
59	0.5944008559
60	0.5934289225
61	0.5927166457
62	0.5913160088
63	0.5907103721
64	0.5898421213
65	0.588765948
66	0.5881263647
67	0.5869552955
68	0.5859614169
69	0.5850213297
70	0.5838656479
71	0.5823999041
72	0.5815886594
73	0.5806220408
74	0.5794407705
75	0.5786660869
76	0.5781324579
77	0.5771615103
78	0.5762159369
79	0.575260591
80	0.5749671165
81	0.5738643689
82	0.5730564246
83	0.5724957927
84	0.5719522198
85	0.5714714822
86	0.5707315166
87	0.5700287551
88	0.5692031517
89	0.5688751735
90	0.567996593
91	0.5671654176
92	0.5667171693
93	0.5658429607
94	0.5653941122
95	0.5648989302
96	0.5645253042
97	0.5634061835
98	0.5628814697
99	0.5624832839
100	0.5615526692
101	0.5607841577
102	0.5600292763
103	0.5593618757
104	0.5588540066
105	0.5582152806
106	0.5570906307
107	0.5560019847
108	0.5554483821
109	0.554900823
110	0.5542367657
111	0.5535671363
112	0.5530576384
113	0.5526312496
114	0.5518095895
