iter	Passed	Remaining
0	134	134770
1	136	68327
2	138	45862
3	139	34756
4	141	28081
5	142	23625
6	144	20442
7	145	18047
8	146	16184
9	148	14723
10	150	13504
11	151	12434
12	152	11579
13	154	10852
14	155	10217
15	157	9660
16	158	9170
17	160	8730
18	161	8337
19	162	7986
20	164	7667
21	165	7377
22	167	7095
23	168	6851
24	170	6632
25	171	6425
26	173	6234
27	174	6059
28	175	5892
29	177	5741
30	179	5601
31	180	5466
32	182	5339
33	183	5219
34	185	5107
35	186	4993
36	187	4891
37	189	4795
38	190	4705
39	192	4620
40	194	4543
41	195	4466
42	197	4392
43	198	4323
44	200	4254
45	201	4187
46	203	4125
47	204	4064
48	206	4008
49	208	3953
50	209	3901
51	211	3856
52	212	3794
53	213	3748
54	215	3704
55	217	3660
56	218	3618
57	220	3576
58	221	3535
59	223	3497
60	224	3458
61	226	3421
62	227	3385
63	228	3343
64	230	3310
65	231	3277
66	233	3246
67	234	3215
68	236	3186
69	237	3157
70	239	3129
71	240	3101
72	242	3074
73	243	3048
74	245	3022
75	246	2997
76	247	2970
77	249	2947
78	250	2925
79	252	2902
80	253	2875
81	254	2854
82	256	2834
83	258	2814
84	259	2794
85	260	2771
86	262	2752
87	263	2733
88	265	2715
89	266	2690
90	267	2672
91	269	2655
92	270	2638
93	272	2621
94	273	2601
95	274	2585
96	275	2569
97	277	2553
98	279	2544
99	282	2545
100	285	2539
101	287	2533
102	289	2525
103	292	2516
104	294	2509
105	296	2504
106	299	2497
107	301	2489
108	303	2482
109	305	2475
110	308	2470
111	311	2466
112	313	2461
113	315	2453
114	317	2444
115	319	2434
116	322	2431
117	324	2422
118	326	2415
119	328	2408
120	330	2401
121	333	2398
122	335	2391
123	337	2385
124	340	2382
125	342	2377
126	345	2373
127	347	2369
128	350	2365
129	352	2360
130	354	2353
131	356	2345
132	358	2335
133	359	2326
134	360	2312
135	362	2303
136	364	2297
137	366	2288
138	368	2279
139	369	2269
140	371	2260
141	372	2251
142	374	2242
143	375	2232
144	376	2222
145	378	2214
146	380	2205
147	381	2197
148	383	2188
149	384	2179
150	386	2172
151	387	2163
152	389	2155
153	390	2147
154	392	2141
155	394	2132
156	395	2124
157	397	2116
158	398	2109
159	400	2101
160	401	2093
161	403	2085
162	404	2078
163	406	2070
164	407	2063
165	409	2055
166	410	2048
167	412	2040
168	413	2033
169	414	2023
170	415	2016
171	417	2011
172	419	2005
173	421	1999
174	423	1994
175	424	1988
176	426	1981
177	427	1975
178	429	1968
179	430	1962
180	432	1955
181	433	1949
182	435	1943
183	436	1936
184	438	1930
185	439	1924
186	441	1918
187	442	1912
188	444	1906
189	445	1900
190	447	1894
191	448	1888
192	450	1884
193	452	1879
194	453	1874
195	455	1869
196	457	1864
197	459	1859
198	460	1855
199	462	1850
200	464	1844
201	465	1839
202	467	1835
203	469	1831
204	471	1827
205	473	1823
206	474	1819
207	476	1814
208	478	1810
209	480	1807
210	482	1802
211	483	1798
212	485	1794
213	487	1790
214	489	1785
215	490	1781
216	492	1776
217	494	1772
218	495	1768
219	497	1763
220	498	1758
221	500	1753
222	501	1748
223	503	1743
224	504	1739
225	506	1734
226	508	1730
227	509	1725
228	511	1721
229	512	1716
230	514	1711
231	515	1707
232	517	1702
233	518	1698
234	520	1693
235	521	1688
236	523	1684
237	524	1680
238	526	1675
239	527	1671
240	528	1665
241	530	1661
